gene_id,TMs
WBGene00220707,0
WBGene00220707,0
WBGene00220713,0
WBGene00220761,1
WBGene00220802,0
WBGene00220802,0
WBGene00220836,0
WBGene00220954,1
WBGene00220975,0
WBGene00221291,1
WBGene00221291,0
WBGene00221296,0
WBGene00221305,0
WBGene00221603,0
WBGene00221957,0
WBGene00222002,0
WBGene00222002,0
WBGene00222044,0
WBGene00222044,0
WBGene00222044,0
WBGene00222044,0
WBGene00222044,0
WBGene00222044,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222058,0
WBGene00222162,0
WBGene00222162,0
WBGene00222162,0
WBGene00222162,0
WBGene00222262,0
WBGene00222262,0
WBGene00222277,0
WBGene00222277,0
WBGene00222277,0
WBGene00222277,0
WBGene00222277,0
WBGene00222277,0
WBGene00222277,0
WBGene00222277,0
WBGene00222525,2
WBGene00222525,3
WBGene00222572,0
WBGene00222572,0
WBGene00222590,0
WBGene00222599,0
WBGene00222599,0
WBGene00222599,0
WBGene00222638,4
WBGene00222652,0
WBGene00222693,3
WBGene00222693,2
WBGene00222714,0
WBGene00222724,0
WBGene00222724,0
WBGene00222808,0
WBGene00222808,0
WBGene00222878,0
WBGene00222891,7
WBGene00222891,6
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00222893,0
WBGene00223058,0
WBGene00223058,0
WBGene00223058,0
WBGene00223058,0
WBGene00223121,0
WBGene00223218,0
WBGene00223218,0
WBGene00223218,0
WBGene00223218,0
WBGene00223265,0
WBGene00223265,0
WBGene00223265,0
WBGene00223285,0
WBGene00223325,5
WBGene00223325,5
WBGene00223325,1
WBGene00223342,0
WBGene00223342,1
WBGene00223394,0
WBGene00223394,0
WBGene00223407,1
WBGene00223407,1
WBGene00223407,1
WBGene00223407,1
WBGene00223418,0
WBGene00223423,0
WBGene00223423,0
WBGene00223423,0
WBGene00223423,0
WBGene00223446,0
WBGene00223446,0
